fid,in_atuacao,in_id,in_iptu_pr,in_situac,in_sql,in_tipolog,CEPEUC_SETOR_QUADRA_LOTE,CEPEUC_TIPOLOGIA,CEPEUC_LOGRADOURO,CEPEUC_N,CEPEUC_COND.,CEPEUC_SUBPREFEITURA,CEPEUC_PERIMETRO,CEPEUC_AREA_DO_TERRENO,CEPEUC_AREA_CONTRUÍDA,CEPEUC_DATA_DA_NOTIFICAÇAO,CEPEUC_IDENTIFICAÇÃO_DO_INSTRUMENTO,CEPEUC_SITUAÇAO_DO_IMOVEL,CEPEUC_SOLICITACAO_DA_AVERBACAO,CEPEUC_DATA_INICIAL_DA_APLICAÇÃO,CEPEUC_DATA_PROTOCOLO_APROVACAO_E_EXECUCAO_PROJETO_OU_EQUIVALENTE,CEPEUC_DATA_EXPEDICAO_ALVARA_APROVACAO_E_EXECUCAO,CEPEUC_BASE_DECAD2018,CEPEUC_DATA_1_APLICACAO_DA_ALIQUOTA_PROGRESSIVA,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2016,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2017,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2018,CEPEUC_IPTU_PROGRESSIVO_ENVIADOS_SF2019,CEPEUC_DATA DA PUBLICACAO_DECRETO_DE_DESAPROPRIACAO,CEPEUC_DATA_DA_PROPOSITURA_DEACAO_DE_DESAPROPRIACAO,CEPEUC_DESTINACAO_DO_IMOVEL,CEPEUC_JUSTIFICATIVA_AUSENCIA_INTERESSE_NA_AQUISICAO
"11",OU CENTRO,"11",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0010250059",NAO UTILIZADO,"0010250059",NÃO UTILIZADO,R PAULA SOUZA,"375","-",SPSE,OU CENTRO,"700","700",2015/06/17,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/06/17,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"12",OU CENTRO,"12",NÃO,NOTIFICADO,"0010270003",SUBUTILIZADO,"0010270003",SUBUTILIZADO,R BRIGADEIRO TOBIAS,"541",NÃO,SPSE,OU CENTRO,"1104","22",2015/08/06,PEUC,NOTIFICADO,"-",2015/08/06,2016/10/17,"-",,"-","-","-","-","-","-","-","-","-"
"13",OU CENTRO,"13",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0010290001",NAO EDIFICADO,"0010290001",NÃO EDIFICADO,R BRIGADEIRO TOBIAS,"502",NÃO,SPSE,OU CENTRO,"742","0",2015/01/16,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/01/16,2014/08/19,"-",,"-","-","-","-","-","-","-","-","-"
"14",OU CENTRO,"14",NÃO,NOTIFICADO,"0010310089",SUBUTILIZADO,"0010310089",SUBUTILIZADO,BECO DA FÁBRICA,"51",NÃO,SPSE,OU CENTRO,"515","9",2015/04/14,PEUC,NOTIFICADO,AVERBADO,2015/04/14,2016/10/05,"-",,"-","-","-","-","-","-","-","-","-"
"15",OU CENTRO,"15",SIM,NOTIFICADO,"0010360008",SUBUTILIZADO,"0010360008",SUBUTILIZADO,PC ALFREDO ISSA,"20",NÃO,SPSE,OU CENTRO,"1417","300",2015/08/27,IPTU PROGRESSIVO,NOTIFICADO,"-",2015/08/27,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"16",OU CENTRO,"16",SIM,NOTIFICADO,"0010360279",SUBUTILIZADO,"0010360279",SUBUTILIZADO,AV SEN QUEIROS,"62",NÃO,SPSE,OU CENTRO,"1480","385",2015/09/04,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/04,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"17",OU CENTRO,"17",SIM,NOTIFICADO,"0010360291",SUBUTILIZADO,"0010360291",SUBUTILIZADO,R BRIGADEIRO TOBIAS,"391",NÃO,SPSE,OU CENTRO,"578","40",2015/07/24,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/07/24,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"18",OU CENTRO,"18",SIM,NOTIFICADO,"0010470016",SUBUTILIZADO,"0010470016",SUBUTILIZADO,AV PRESTES MAIA,"00315",NÃO,SPSE,OU CENTRO,"1828","740",2015/08/27,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/08/27,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"19",OU CENTRO,"19",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0010490034",NAO UTILIZADO,"0010490034",NÃO UTILIZADO,R FLORENCIO DE ABREU,"327",NÃO,SPSE,OU CENTRO,"266","1100",2015/02/04,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/02/04,"-","-",,"2017","-",ENVIADO,ENVIADO,"-","-","-","-","-"
"20",OU CENTRO,"20",SIM,NOTIFICADO,"0010490048",NAO UTILIZADO,"0010490048",NÃO UTILIZADO,R FLORENCIO DE ABREU,"217",NÃO,SPSE,OU CENTRO,"967","2300",2015/09/11,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/11,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"21",OU CENTRO,"21",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0010490052",NAO UTILIZADO,"0010490052",NÃO UTILIZADO,R FLORENCIO DE ABREU,"181",NÃO,SPSE,OU CENTRO,"1037","0",2015/07/21,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/07/21,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"22",OU CENTRO,"22",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0010490053",NAO UTILIZADO,"0010490053",NÃO UTILIZADO,R FLORENCIO DE ABREU,"-",NA,SPSE,OU CENTRO,"1824","0",2015/07/21,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/07/21,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"23",OU CENTRO,"23",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0010520014",NAO UTILIZADO,"0010520014",NÃO UTILIZADO,R DA CANTAREIRA,"407",NÃO,SPSE,OU CENTRO,"182","602",2015/03/10,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,AVERBADO,2015/03/10,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"24",OU CENTRO/ZEIS 5,"24",SIM,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0010530006",NAO UTILIZADO,"0010530006",NÃO UTILIZADO,SANTA IFIGÊNIA,1-5-7,NÃO,SPSE,OU CENTRO / ZEIS 5,"480","1900",2015/05/21,IPTU PROGRESSIVO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2015/05/21,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"25",OU CENTRO,"25",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0010530025",NAO EDIFICADO,"0010530025",NÃO EDIFICADO,AV RIO BRANCO,"90",NÃO,SPSE,OU CENTRO,"585","500",2016/10/27,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/10/27,2016/11/04,"-",,"-","-","-","-","-","-","-","-","-"
"26",OU CENTRO,"26",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0010530026",NAO EDIFICADO,"0010530026",NÃO EDIFICADO,AV RIO BRANCO,"82",NÃO,SPSE,OU CENTRO,"495","874",2016/10/27,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",2016/10/27,2016/11/04,"-",,"-","-","-","-","-","-","-","-","-"
"27",OU CENTRO,"27",NÃO,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"0010530229",NAO UTILIZADO,"0010530229",NÃO UTILIZADO,Santa Ifigênia,"39",NÃO,SPSE,OU CENTRO,"741","2290",00/01/1900,PEUC,IMPUGNAÇÃO INDEFERIDA / MONITORAMENTO,"-",00/01/1900,"-","-",,"2018","-","-",ENVIADO,"-","-","-","-","-"
"28",OU CENTRO/ZEIS 5,"28",SIM,NOTIFICADO,"0010530296",NAO UTILIZADO,"0010530296",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","121",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,"-",2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"29",OU CENTRO/ZEIS 5,"29",SIM,NOTIFICADO,"0010530298",NAO UTILIZADO,"0010530298",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","74",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"30",OU CENTRO/ZEIS 5,"30",SIM,NOTIFICADO,"0010530299",NAO UTILIZADO,"0010530299",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","46",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"31",OU CENTRO/ZEIS 5,"31",SIM,NOTIFICADO,"0010530300",NAO UTILIZADO,"0010530300",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","61",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"32",OU CENTRO/ZEIS 5,"32",NÃO,NOTIFICADO,"0010530301",NAO UTILIZADO,"0010530301",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","134",2015/09/29,PEUC,NOTIFICADO,"-",2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,"-","-","-","-","-"
"33",OU CENTRO/ZEIS 5,"33",SIM,NOTIFICADO,"0010530302",NAO UTILIZADO,"0010530302",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","117",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,"-",2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"34",OU CENTRO/ZEIS 5,"34",SIM,NOTIFICADO,"0010530303",NAO UTILIZADO,"0010530303",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","75",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"35",OU CENTRO/ZEIS 5,"35",SIM,NOTIFICADO,"0010530304",NAO UTILIZADO,"0010530304",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","45",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"36",OU CENTRO/ZEIS 5,"36",SIM,NOTIFICADO,"0010530305",NAO UTILIZADO,"0010530305",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","125",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"37",OU CENTRO/ZEIS 5,"37",SIM,NOTIFICADO,"0010530306",NAO UTILIZADO,"0010530306",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","116",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,"-",2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"38",OU CENTRO/ZEIS 5,"38",SIM,NOTIFICADO,"0010530307",NAO UTILIZADO,"0010530307",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","51",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"39",OU CENTRO/ZEIS 5,"39",SIM,NOTIFICADO,"0010530308",NAO UTILIZADO,"0010530308",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","69",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"40",OU CENTRO/ZEIS 5,"40",SIM,NOTIFICADO,"0010530309",NAO UTILIZADO,"0010530309",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","62",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,"-",2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"41",OU CENTRO/ZEIS 5,"41",SIM,NOTIFICADO,"0010530310",NAO UTILIZADO,"0010530310",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","46",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"42",OU CENTRO/ZEIS 5,"42",SIM,NOTIFICADO,"0010530311",NAO UTILIZADO,"0010530311",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","61",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"43",OU CENTRO/ZEIS 5,"43",SIM,NOTIFICADO,"0010530312",NAO UTILIZADO,"0010530312",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","65",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,"-",2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"44",OU CENTRO/ZEIS 5,"44",SIM,NOTIFICADO,"0010530313",NAO UTILIZADO,"0010530313",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","68",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,"-",2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"45",OU CENTRO/ZEIS 5,"45",SIM,NOTIFICADO,"0010530314",NAO UTILIZADO,"0010530314",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","66",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,"-",2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"46",OU CENTRO/ZEIS 5,"46",SIM,NOTIFICADO,"0010530315",NAO UTILIZADO,"0010530315",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","48",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"47",OU CENTRO/ZEIS 5,"47",SIM,NOTIFICADO,"0010530316",NAO UTILIZADO,"0010530316",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","73",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,"-",2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"48",OU CENTRO/ZEIS 5,"48",SIM,NOTIFICADO,"0010530317",NAO UTILIZADO,"0010530317",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","45",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"49",OU CENTRO/ZEIS 5,"49",SIM,NOTIFICADO,"0010530319",NAO UTILIZADO,"0010530319",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","56",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"50",OU CENTRO/ZEIS 5,"50",SIM,NOTIFICADO,"0010530320",NAO UTILIZADO,"0010530320",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","80",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"51",OU CENTRO/ZEIS 5,"51",SIM,NOTIFICADO,"0010530321",NAO UTILIZADO,"0010530321",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","60",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"52",OU CENTRO/ZEIS 5,"52",SIM,NOTIFICADO,"0010530322",NAO UTILIZADO,"0010530322",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","51",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"53",OU CENTRO/ZEIS 5,"53",SIM,NOTIFICADO,"0010530323",NAO UTILIZADO,"0010530323",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","69",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"54",OU CENTRO/ZEIS 5,"54",SIM,NOTIFICADO,"0010530324",NAO UTILIZADO,"0010530324",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","46",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"55",OU CENTRO/ZEIS 5,"55",SIM,NOTIFICADO,"0010530325",NAO UTILIZADO,"0010530325",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","62",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"56",OU CENTRO/ZEIS 5,"56",SIM,IMPUGNAÇÃO EM ANÁLISE,"0010530326",NAO UTILIZADO,"0010530326",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","61",2015/09/29,IPTU PROGRESSIVO,IMPUGNAÇÃO EM ANÁLISE,"-",2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"57",OU CENTRO/ZEIS 5,"57",SIM,NOTIFICADO,"0010530327",NAO UTILIZADO,"0010530327",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","65",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"58",OU CENTRO/ZEIS 5,"58",SIM,NOTIFICADO,"0010530329",NAO UTILIZADO,"0010530329",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","66",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"59",OU CENTRO/ZEIS 5,"59",SIM,NOTIFICADO,"0010530330",NAO UTILIZADO,"0010530330",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","48",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"60",OU CENTRO/ZEIS 5,"60",SIM,NOTIFICADO,"0010530331",NAO UTILIZADO,"0010530331",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","73",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,AVERBADO,2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
"61",OU CENTRO/ZEIS 5,"61",SIM,NOTIFICADO,"0010530332",NAO UTILIZADO,"0010530332",NÃO UTILIZADO,AV IPIRANGA,"1064",SIM,SPSE,OU CENTRO / ZEIS 5,"1024","45",2015/09/29,IPTU PROGRESSIVO,NOTIFICADO,"-",2015/09/29,"-","-",,"2017","-",ENVIADO,ENVIADO,ENVIADO,"-","-","-","-"
